day,ideal_coverage_percent,productivity_90_percent,productivity_75_percent
0.000000,2.63627372773e-06,2.63627372773e-06,2.63627372773e-06
0.041667,2.69394898751e-06,2.69394898751e-06,2.69394898751e-06
0.083333,2.75288604176e-06,2.75288604176e-06,2.75288604176e-06
0.125000,2.81311249546e-06,2.81311249546e-06,2.81311249546e-06
0.166667,2.87465655755e-06,2.87465655755e-06,2.87465655755e-06
0.208333,2.93754705409e-06,2.93754705409e-06,2.93754705409e-06
0.250000,3.00181344179e-06,3.00181344179e-06,3.00181344179e-06
0.291667,3.06748582181e-06,3.06748582181e-06,3.06748582181e-06
0.333333,3.13459495384e-06,3.13459495384e-06,3.13459495384e-06
0.375000,3.20317227052e-06,3.20317227052e-06,3.20317227052e-06
0.416667,3.27324989216e-06,3.27324989216e-06,3.27324989216e-06
0.458333,3.34486064179e-06,3.34486064179e-06,3.34486064179e-06
0.500000,3.41803806052e-06,3.41803806052e-06,3.41803806052e-06
0.541667,3.49281642326e-06,3.49281642326e-06,3.49281642326e-06
0.583333,3.56923075477e-06,3.56923075477e-06,3.56923075477e-06
0.625000,3.64731684608e-06,3.64731684608e-06,3.64731684608e-06
0.666667,3.72711127122e-06,3.72711127122e-06,3.72711127122e-06
0.708333,3.80865140438e-06,3.80865140438e-06,3.80865140438e-06
0.750000,3.89197543741e-06,3.89197543741e-06,3.89197543741e-06
0.791667,3.97712239771e-06,3.97712239771e-06,3.97712239771e-06
0.833333,4.06413216649e-06,4.06413216649e-06,4.06413216649e-06
0.875000,4.15304549746e-06,4.15304549746e-06,4.15304549746e-06
0.916667,4.24390403595e-06,4.24390403595e-06,4.24390403595e-06
0.958333,4.33675033837e-06,4.33675033837e-06,4.33675033837e-06
1.000000,4.43162789215e-06,4.43162789215e-06,4.43162789215e-06
1.041667,4.52858113614e-06,4.52858113614e-06,4.52858113614e-06
1.083333,4.62765548139e-06,4.62765548139e-06,4.62765548139e-06
1.125000,4.72889733245e-06,4.72889733245e-06,4.72889733245e-06
1.166667,4.83235410906e-06,4.83235410906e-06,4.83235410906e-06
1.208333,4.93807426842e-06,4.93807426842e-06,4.93807426842e-06
1.250000,5.04610732784e-06,5.04610732784e-06,5.04610732784e-06
1.291667,5.15650388794e-06,5.15650388794e-06,5.15650388794e-06
1.333333,5.26931565638e-06,5.26931565638e-06,5.26931565638e-06
1.375000,5.38459547204e-06,5.38459547204e-06,5.38459547204e-06
1.416667,5.5023973298e-06,5.5023973298e-06,5.5023973298e-06
1.458333,5.6227764058e-06,5.6227764058e-06,5.6227764058e-06
